Psgc	Region	Province	Town	Barangay
175205068	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	CITY OF CALAPAN (CAPITAL)	NAG-IBA II
175206001	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	GLORIA	AGSALIN
175206002	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	GLORIA	AGOS
175206003	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	GLORIA	ANDRES BONIFACIO
175206004	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	GLORIA	BALETE
175206005	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	GLORIA	BANUS
175206006	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	GLORIA	BANUTAN
175206007	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	GLORIA	BUONG LUPA
175206008	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	GLORIA	BULAKLAKAN
175206009	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	GLORIA	GAUDENCIO ANTONINO
175206010	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	GLORIA	GUIMBONAN
175206012	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	GLORIA	KAWIT
175206013	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	GLORIA	LUCIO LAUREL
175206014	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	GLORIA	MACARIO ADRIATICO
175206015	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	GLORIA	MALAMIG
175206016	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	GLORIA	MALAYONG
175206017	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	GLORIA	MALIGAYA (POB.)
175206018	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	GLORIA	MALUBAY
175206020	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	GLORIA	MANGUYANG
175206021	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	GLORIA	MARAGOOC
175206022	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	GLORIA	MIRAYAN
175206023	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	GLORIA	NARRA
175206024	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	GLORIA	PAPANDUNGIN
175206025	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	GLORIA	SAN ANTONIO
175206026	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	GLORIA	SANTA MARIA
175206027	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	GLORIA	SANTA THERESA
175206028	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	GLORIA	TAMBONG
175206029	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	GLORIA	ALMA VILLA
175207001	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	MANSALAY	B. DEL MUNDO
175207002	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	MANSALAY	BALUGO
175207003	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	MANSALAY	BONBON
175207004	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	MANSALAY	BUDBURAN
175207005	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	MANSALAY	CABALWA
175207007	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	MANSALAY	DON PEDRO
175207010	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	MANSALAY	MALIWANAG
175207011	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	MANSALAY	MANAUL
175207012	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	MANSALAY	PANAYTAYAN
175207013	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	MANSALAY	POBLACION
175207014	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	MANSALAY	ROMA
175207016	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	MANSALAY	SANTA BRIGIDA
175207017	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	MANSALAY	SANTA MARIA
175207018	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	MANSALAY	VILLA CELESTIAL
175207019	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	MANSALAY	WASIG
175207020	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	MANSALAY	SANTA TERESITA
175207021	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	MANSALAY	WAYGAN
175208001	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	NAUJAN	ADRIALUNA
175208002	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	NAUJAN	ANTIPOLO
175208003	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	NAUJAN	APITONG
175208004	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	NAUJAN	ARANGIN
175208005	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	NAUJAN	AURORA
175208006	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	NAUJAN	BACUNGAN
175208007	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	NAUJAN	BAGONG BUHAY
175208008	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	NAUJAN	BANCURO
175208010	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	NAUJAN	BARCENAGA
175208011	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	NAUJAN	BAYANI
175208012	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	NAUJAN	BUHANGIN
175208013	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	NAUJAN	CONCEPCION
175208014	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	NAUJAN	DAO
175208015	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	NAUJAN	DEL PILAR
175208016	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	NAUJAN	ESTRELLA
175208017	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	NAUJAN	EVANGELISTA
175208018	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	NAUJAN	GAMAO
175208019	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	NAUJAN	GENERAL ESCO
175208020	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	NAUJAN	HERRERA
175208021	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	NAUJAN	INARAWAN
175208022	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	NAUJAN	KALINISAN
175208023	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	NAUJAN	LAGUNA
175208024	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	NAUJAN	MABINI
175208026	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	NAUJAN	MAHABANG PARANG
175208027	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	NAUJAN	MALAYA
175208028	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	NAUJAN	MALINAO
175208029	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	NAUJAN	MALVAR
175208030	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	NAUJAN	MASAGANA
175208031	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	NAUJAN	MASAGUING
175208032	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	NAUJAN	MELGAR A
175208033	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	NAUJAN	METOLZA
175208034	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	NAUJAN	MONTELAGO
175208035	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	NAUJAN	MONTEMAYOR
175208036	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	NAUJAN	MOTODERAZO
175208037	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	NAUJAN	MULAWIN
175208038	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	NAUJAN	NAG-IBA I
175208039	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	NAUJAN	NAG-IBA II
175208040	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	NAUJAN	PAGKAKAISA
175208042	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	NAUJAN	PANIQUIAN
175208043	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	NAUJAN	PINAGSABANGAN I
175208044	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	NAUJAN	PINAGSABANGAN II
175208045	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	NAUJAN	PINAHAN
175208046	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	NAUJAN	POBLACION I (BARANGAY I)
175208049	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	NAUJAN	SAMPAGUITA
175208050	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	NAUJAN	SAN AGUSTIN I
175208051	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	NAUJAN	SAN AGUSTIN II
175208052	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	NAUJAN	SAN ANDRES
175208054	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	NAUJAN	SAN CARLOS
175208055	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	NAUJAN	SAN ISIDRO
175208056	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	NAUJAN	SAN JOSE
175208057	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	NAUJAN	SAN LUIS
175208058	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	NAUJAN	SAN NICOLAS
175208059	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	NAUJAN	SAN PEDRO
175208060	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	NAUJAN	SANTA ISABEL
175208061	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	NAUJAN	SANTA MARIA
175208063	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	NAUJAN	SANTO NINO
175208064	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	NAUJAN	TAGUMPAY
175208065	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	NAUJAN	TIGKAN
175208066	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	NAUJAN	MELGAR B
175208067	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	NAUJAN	SANTA CRUZ
175208068	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	NAUJAN	BALITE
175208069	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	NAUJAN	BANUTON
175208070	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	NAUJAN	CABURO
175208071	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	NAUJAN	MAGTIBAY
175208072	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	NAUJAN	PAITAN
175209001	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	PINAMALAYAN	ANOLING
175209002	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	PINAMALAYAN	BACUNGAN
175209003	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	PINAMALAYAN	BANGBANG
175209004	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	PINAMALAYAN	BANILAD
175209005	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	PINAMALAYAN	BULI
175209006	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	PINAMALAYAN	CACAWAN
175209007	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	PINAMALAYAN	CALINGAG
175209008	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	PINAMALAYAN	DEL RAZON
175209009	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	PINAMALAYAN	INCLANAY
175209010	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	PINAMALAYAN	LUMANGBAYAN
175209011	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	PINAMALAYAN	MALAYA
175209012	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	PINAMALAYAN	MALIANGCOG
175209013	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	PINAMALAYAN	MANINGCOL
175209014	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	PINAMALAYAN	MARAYOS
175209015	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	PINAMALAYAN	MARFRANCISCO
175209016	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	PINAMALAYAN	NABUSLOT
175209017	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	PINAMALAYAN	PAGALAGALA
175209018	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	PINAMALAYAN	PALAYAN
175209019	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	PINAMALAYAN	PAMBISAN MALAKI
175209020	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	PINAMALAYAN	PAMBISAN MUNTI
175209021	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	PINAMALAYAN	PANGGULAYAN
175209022	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	PINAMALAYAN	PAPANDAYAN
175209023	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	PINAMALAYAN	PILI
175209024	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	PINAMALAYAN	ZONE II (POB.)
175209025	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	PINAMALAYAN	ZONE III (POB.)
175209026	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	PINAMALAYAN	ZONE IV (POB.)
175209027	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	PINAMALAYAN	QUINABIGAN
175209028	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	PINAMALAYAN	RANZO
175209029	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	PINAMALAYAN	ROSARIO
175209030	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	PINAMALAYAN	SABANG
175209031	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	PINAMALAYAN	SANTA ISABEL
175209032	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	PINAMALAYAN	SANTA MARIA
175209033	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	PINAMALAYAN	SANTA RITA
175209034	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	PINAMALAYAN	WAWA
175209035	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	PINAMALAYAN	ZONE I (POB.)
175209036	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	PINAMALAYAN	SANTO NINO
175209037	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	PINAMALAYAN	GUINHAWA
175210001	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	POLA	BACAWAN
175210002	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	POLA	BACUNGAN
175210004	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	POLA	BATUHAN
175210005	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	POLA	BAYANAN
175210006	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	POLA	BIGA
175210007	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	POLA	BUHAY NA TUBIG
175210008	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	POLA	CALUBASANHON
175210009	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	POLA	CALIMA
175210010	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	POLA	CASILIGAN
175210011	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	POLA	MALIBAGO
175210012	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	POLA	MALUANLUAN
175210013	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	POLA	MATULATULA
175210014	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	POLA	PAHILAHAN
175210015	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	POLA	PANIKIHAN
175210017	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	POLA	ZONE I (POB.)
175210018	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	POLA	ZONE II (POB.)
175210019	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	POLA	PULA
175210020	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	POLA	PUTING CACAO
175210021	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	POLA	TAGBAKIN
175210022	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	POLA	TAGUMPAY
175210023	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	POLA	TIGUIHAN
175210024	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	POLA	CAMPAMENTO
175210025	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	POLA	MISONG
175211001	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	PUERTO GALERA	ANINUAN
175211002	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	PUERTO GALERA	BALATERO
175211003	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	PUERTO GALERA	DULANGAN
175211004	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	PUERTO GALERA	PALANGAN
175211005	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	PUERTO GALERA	SABANG
175211006	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	PUERTO GALERA	SAN ANTONIO
175211007	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	PUERTO GALERA	SAN ISIDRO
175211008	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	PUERTO GALERA	SANTO NINO
175211009	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	PUERTO GALERA	SINANDIGAN
175211010	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	PUERTO GALERA	TABINAY
175211011	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	PUERTO GALERA	VILLAFLOR
175211012	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	PUERTO GALERA	POBLACION
175211013	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	PUERTO GALERA	BACLAYAN
175212001	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	ROXAS	BAGUMBAYAN (POB.)
175212002	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	ROXAS	CANTIL
175212003	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	ROXAS	DANGAY
175212004	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	ROXAS	HAPPY VALLEY
175212005	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	ROXAS	LIBERTAD
175212006	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	ROXAS	LIBTONG
175212007	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	ROXAS	MABUHAY
175212008	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	ROXAS	MARASKA
175212009	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	ROXAS	ODIONG
175212010	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	ROXAS	PACLASAN (POB.)
175212011	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	ROXAS	SAN AQUILINO
175212012	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	ROXAS	SAN ISIDRO
175212013	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	ROXAS	SAN JOSE
175212014	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	ROXAS	SAN MARIANO
175212015	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	ROXAS	SAN MIGUEL
175212016	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	ROXAS	SAN RAFAEL
175212017	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	ROXAS	SAN VICENTE
175212018	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	ROXAS	UYAO
175212019	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	ROXAS	VICTORIA
175212020	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	ROXAS	LITTLE TANAUAN
175213001	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	SAN TEODORO	BIGAAN
175213002	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	SAN TEODORO	CALANGATAN
175213003	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	SAN TEODORO	CALSAPA
175213004	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	SAN TEODORO	ILAG
175213005	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	SAN TEODORO	LUMANGBAYAN
175213006	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	SAN TEODORO	TACLIGAN
175213007	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	SAN TEODORO	POBLACION
175213008	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	SAN TEODORO	CAAGUTAYAN
175214001	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	SOCORRO	BAGSOK
175214002	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	SOCORRO	BATONG DALIG
175214003	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	SOCORRO	BAYUIN
175214005	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	SOCORRO	CALOCMOY
175214006	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	SOCORRO	CATININGAN
175214007	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	SOCORRO	VILLAREAL (DAAN)
175214008	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	SOCORRO	FORTUNA
175214009	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	SOCORRO	HAPPY VALLEY
175214010	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	SOCORRO	CALUBAYAN
175214012	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	SOCORRO	LEUTEBORO I
175214013	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	SOCORRO	LEUTEBORO II
175214014	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	SOCORRO	MABUHAY I
175214015	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	SOCORRO	MALUGAY
175214016	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	SOCORRO	MATUNGAO
175214017	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	SOCORRO	MONTEVERDE
175214018	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	SOCORRO	PASI I
175214019	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	SOCORRO	PASI II
175214020	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	SOCORRO	ZONE I (POB.)
175214021	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	SOCORRO	ZONE II (POB.)
175214022	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	SOCORRO	ZONE III (POB.)
175214023	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	SOCORRO	ZONE IV (POB.)
175214024	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	SOCORRO	SANTO DOMINGO (LAPOG)
175214025	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	SOCORRO	SUBAAN
175214027	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	SOCORRO	BUGTONG NA TUOG
175214028	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	SOCORRO	MABUHAY II
175214029	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	SOCORRO	MA. CONCEPCION
175215001	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	VICTORIA	ALCATE
175215002	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	VICTORIA	BABANGONAN
175215003	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	VICTORIA	BAGONG SILANG
175215004	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	VICTORIA	BAGONG BUHAY
175215005	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	VICTORIA	BAMBANIN
175215006	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	VICTORIA	BETHEL
175215007	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	VICTORIA	CANAAN
175215008	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	VICTORIA	CONCEPCION
175215009	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	VICTORIA	DUONGAN
175215010	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	VICTORIA	LOYAL
175215011	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	VICTORIA	MABINI
175215012	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	VICTORIA	MACATOC
175215013	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	VICTORIA	MALABO
175215015	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	VICTORIA	MERIT
175215016	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	VICTORIA	ORDOVILLA
175215017	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	VICTORIA	PAKYAS
175215018	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	VICTORIA	POBLACION I
175215019	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	VICTORIA	POBLACION II
175215020	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	VICTORIA	POBLACION III
175215021	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	VICTORIA	POBLACION IV
175215027	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	VICTORIA	SAMPAGUITA
175215028	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	VICTORIA	SAN ANTONIO
175215029	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	VICTORIA	SAN GABRIEL
175215030	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	VICTORIA	SAN GELACIO
175215031	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	VICTORIA	SAN ISIDRO
175215032	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	VICTORIA	SAN JUAN
175215033	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	VICTORIA	SAN NARCISO
175215034	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	VICTORIA	URDANETA
175215035	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	VICTORIA	VILLA CERVEZA
175215036	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	VICTORIA	JOSE LEIDO JR.
175215037	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	VICTORIA	SAN CRISTOBAL
175215038	REGION IV-B (MIMAROPA)	ORIENTAL MINDORO	VICTORIA	ANTONINO
175301001	REGION IV-B (MIMAROPA)	PALAWAN	ABORLAN	APO-APORAWAN
175301002	REGION IV-B (MIMAROPA)	PALAWAN	ABORLAN	APOC-APOC
175301003	REGION IV-B (MIMAROPA)	PALAWAN	ABORLAN	APORAWAN
175301004	REGION IV-B (MIMAROPA)	PALAWAN	ABORLAN	BARAKE
175301005	REGION IV-B (MIMAROPA)	PALAWAN	ABORLAN	CABIGAAN
175301006	REGION IV-B (MIMAROPA)	PALAWAN	ABORLAN	GOGOGNAN
175301007	REGION IV-B (MIMAROPA)	PALAWAN	ABORLAN	IRAAN
175301008	REGION IV-B (MIMAROPA)	PALAWAN	ABORLAN	ISAUB
175301009	REGION IV-B (MIMAROPA)	PALAWAN	ABORLAN	JOSE RIZAL
175301010	REGION IV-B (MIMAROPA)	PALAWAN	ABORLAN	MABINI
175301011	REGION IV-B (MIMAROPA)	PALAWAN	ABORLAN	MAGBABADIL
175301012	REGION IV-B (MIMAROPA)	PALAWAN	ABORLAN	PLARIDEL
175301014	REGION IV-B (MIMAROPA)	PALAWAN	ABORLAN	RAMON MAGSAYSAY
175301015	REGION IV-B (MIMAROPA)	PALAWAN	ABORLAN	SAGPANGAN
175301016	REGION IV-B (MIMAROPA)	PALAWAN	ABORLAN	SAN JUAN
